source_file,output_name,product,form,animal,weight
"bioaminovit bee600gsn.jpg","bi-aminovit-bee-toz-ari-600g.jpg","Bi-AminoVit Bee","toz","ari","600g"
"bioaminovitbee120g.jpg","bi-aminovit-bee-toz-ari-120g.jpg","Bi-AminoVit Bee","toz","ari","120g"
"cuvalsn.jpg","zoemin-toz-coklu-hayvan-15kg.jpg","ZoeMin","toz","coklu-hayvan","15kg"
"gastrojoint.jpg","gastrojoint-horse-toz-at-400g.jpg","GastroJoint Horse","toz","at","400g"
"zoedry spry skpk.jpg","zoedry-spray-sprey-coklu-hayvan-set.jpg","ZoeDry Spray","sprey","coklu-hayvan",""
"zoemin400g.jpg","zoemin-toz-coklu-hayvan-400g.jpg","ZoeMin","toz","coklu-hayvan","400g"
"zoemint spray 100ml sn.jpg","zoemint-spray-sprey-ruminant-100ml.jpg","ZoeMint Spray","sprey","ruminant","100ml"
"zoemint spray skpk.jpg","zoemint-spray-sprey-ruminant-set.jpg","ZoeMint Spray","sprey","ruminant",""
"zoemintcream 2li.jpg","zoemint-cream-krem-ruminant-ikili.jpg","ZoeMint Cream","krem","ruminant",""
"zoeminthorse 2li.jpg","zoemint-horse-cream-krem-at-ikili.jpg","ZoeMint Horse Cream","krem","at",""
"zoentero plus 2li.jpg","zoentero-plus-toz-ruminant-ikili.jpg","Zoentero Plus","toz","ruminant",""
"zoentero plus cvl.jpg","zoentero-plus-toz-ruminant-15kg.jpg","Zoentero Plus","toz","ruminant","15kg"
"zoeshell 80g.jpg","zoeshell-toz-kedi-kopek-80g.jpg","ZoeShell","toz","kedi-kopek","80g"
"zoetrizan spry skpk.jpg","zoetrizan-spray-sprey-coklu-hayvan-set.jpg","Zoetrizan Spray","sprey","coklu-hayvan",""
"zymflor bee 600g.jpg","zymflor-bee-toz-ari-600g.jpg","ZymFlor Bee","toz","ari","600g"
"zymflor bee likit.jpg","zymflor-bee-liquid-likit-ari.jpg","ZymFlor Bee Liquid","likit","ari",""
"zymflor bee.jpg","zymflor-bee-toz-ari-tekli.jpg","ZymFlor Bee","toz","ari",""
"zymflor beelikit 600g.jpg","zymflor-bee-liquid-likit-ari-600g.jpg","ZymFlor Bee Liquid","likit","ari","600g"
"zymflor birds 2li.jpg","zymflor-birds-toz-kafes-kusu-ikili.jpg","ZymFlor Birds","toz","kafes-kusu",""
"zymflor birds60g.jpg","zymflor-birds-toz-kafes-kusu-60g.jpg","ZymFlor Birds","toz","kafes-kusu","60g"
"zymflor cats son.jpg","zymflor-cats-toz-kedi-60g.jpg","ZymFlor Cats","toz","kedi","60g"
"zymflor dogs deneme.jpg","zymflor-dogs-toz-kopek-60g.jpg","ZymFlor Dogs","toz","kopek","60g"
"zymflor horse.jpg","zymflor-horse-toz-at-600g.jpg","ZymFlor Horse","toz","at","600g"
"zymflor poultry.jpg","zymflor-poultry-toz-kanatli-600g.jpg","ZymFlor Poultry","toz","kanatli","600g"
"zymflor poultrylikit 1L.jpg","zymflor-poultry-liquid-likit-kanatli-1l.jpg","ZymFlor Poultry Liquid","likit","kanatli","1l"
"zymflor ruminant.jpg","zymflor-ruminant-toz-ruminant-600g.jpg","ZymFlor Ruminant","toz","ruminant","600g"
"zymflorbirdslikit60gr.jpg","zymflor-birds-liquid-likit-kafes-kusu-60g.jpg","ZymFlor Birds Liquid","likit","kafes-kusu","60g"
"zymflorbroiller likit5l.jpg","zymflor-poultry-liquid-likit-broiler-5l.jpg","ZymFlor Poultry Liquid","likit","broiler","5l"
"zymflordogslikit60f.jpg","zymflor-dogs-liquid-likit-kopek-60ml.jpg","ZymFlor Dogs Liquid","likit","kopek","60ml"
"zymflorlikit60g.jpg","zymflor-cats-liquid-likit-kedi-60ml.jpg","ZymFlor Cats Liquid","likit","kedi","60ml"
"zymflorbee120g.jpg","zymflor-bee-toz-ari-120g.jpg","ZymFlor Bee","toz","ari","120g"
